event_id,label,episode_id
evt-000001,normal_baseline,
evt-000048,normal_baseline,
evt-000095,normal_baseline,
evt-000142,normal_baseline,
evt-000189,normal_baseline,
evt-000236,normal_baseline,
evt-000283,normal_baseline,
evt-000330,normal_baseline,
evt-000377,normal_baseline,
evt-000424,normal_baseline,
evt-000471,normal_baseline,
evt-000518,normal_baseline,
evt-000565,normal_baseline,
evt-000612,normal_baseline,
evt-000659,normal_baseline,
evt-000706,normal_baseline,
evt-000753,normal_baseline,
evt-000800,normal_baseline,
evt-000847,normal_baseline,
evt-000894,normal_baseline,
evt-000941,normal_baseline,
evt-000988,normal_baseline,
evt-001037,normal_baseline,
evt-001085,normal_baseline,
evt-001133,normal_baseline,
evt-001181,normal_baseline,
evt-001229,normal_baseline,
evt-001277,normal_baseline,
evt-001326,normal_baseline,
evt-001373,normal_baseline,
evt-001422,normal_baseline,
evt-001470,normal_baseline,
evt-001517,normal_baseline,
evt-001565,normal_baseline,
evt-001613,normal_baseline,
evt-001660,normal_baseline,
evt-001709,normal_baseline,
evt-001757,normal_baseline,
evt-001804,normal_baseline,
evt-001853,normal_baseline,
evt-001901,normal_baseline,
evt-001948,normal_baseline,
evt-001995,normal_baseline,
evt-002042,normal_baseline,
evt-002089,normal_baseline,
evt-002136,normal_baseline,
evt-002183,normal_baseline,
evt-002230,normal_baseline,
evt-002277,normal_baseline,
evt-002324,normal_baseline,
evt-002371,normal_baseline,
evt-002419,normal_baseline,
evt-002466,normal_baseline,
evt-002513,normal_baseline,
evt-002560,normal_baseline,
evt-002607,normal_baseline,
evt-002654,normal_baseline,
evt-002701,normal_baseline,
evt-002748,normal_baseline,
evt-002796,normal_baseline,
evt-002843,normal_baseline,
evt-002890,normal_baseline,
evt-002937,normal_baseline,
evt-002984,normal_baseline,
evt-003031,normal_baseline,
evt-003079,normal_baseline,
evt-003126,normal_baseline,
evt-003173,normal_baseline,
evt-003220,normal_baseline,
evt-003267,normal_baseline,
evt-003315,normal_baseline,
evt-003363,normal_baseline,
evt-003410,normal_baseline,
evt-003457,normal_baseline,
evt-003504,normal_baseline,
evt-003551,normal_baseline,
evt-003599,normal_baseline,
evt-003650,normal_baseline,
evt-003717,normal_baseline,
evt-003778,normal_baseline,
evt-003825,normal_baseline,
evt-003872,normal_baseline,
evt-003919,normal_baseline,
evt-003966,normal_baseline,
evt-004013,normal_baseline,
evt-004060,normal_baseline,
evt-004108,normal_baseline,
evt-004155,normal_baseline,
evt-004202,normal_baseline,
evt-004249,normal_baseline,
evt-004296,normal_baseline,
evt-004343,normal_baseline,
evt-004390,normal_baseline,
evt-004437,normal_baseline,
evt-004484,normal_baseline,
evt-004531,normal_baseline,
evt-004578,normal_baseline,
evt-004625,normal_baseline,
evt-004672,normal_baseline,
evt-004720,normal_baseline,
evt-004767,normal_baseline,
evt-004815,normal_baseline,
evt-004862,normal_baseline,
evt-004909,normal_baseline,
evt-004956,normal_baseline,
evt-005003,normal_baseline,
evt-005050,normal_baseline,
evt-005097,normal_baseline,
evt-005144,normal_baseline,
evt-005191,normal_baseline,
evt-005238,normal_baseline,
evt-005285,normal_baseline,
evt-005333,normal_baseline,
evt-005381,normal_baseline,
evt-005428,normal_baseline,
evt-005475,normal_baseline,
evt-005522,normal_baseline,
evt-005569,normal_baseline,
evt-005601,low_and_slow_exfiltration,ls-001
evt-005617,normal_baseline,
evt-005664,normal_baseline,
evt-005711,normal_baseline,
evt-005759,normal_baseline,
evt-005827,normal_baseline,
evt-005882,normal_baseline,
evt-005929,normal_baseline,
evt-005976,normal_baseline,
evt-006023,normal_baseline,
evt-006070,normal_baseline,
evt-006096,low_and_slow_exfiltration,ls-001
evt-006118,normal_baseline,
evt-006165,normal_baseline,
evt-006213,normal_baseline,
evt-006260,normal_baseline,
evt-006308,normal_baseline,
evt-006355,normal_baseline,
evt-006402,normal_baseline,
evt-006449,normal_baseline,
evt-006496,normal_baseline,
evt-006545,normal_baseline,
evt-006592,normal_baseline,
evt-006639,normal_baseline,
evt-006686,normal_baseline,
evt-006733,normal_baseline,
evt-006751,low_and_slow_exfiltration,ls-001
evt-006781,normal_baseline,
evt-006828,normal_baseline,
evt-006876,normal_baseline,
evt-006923,normal_baseline,
evt-006971,normal_baseline,
evt-007018,normal_baseline,
evt-007055,brute_force,bf-001
evt-007057,brute_force,bf-001
evt-007058,brute_force,bf-001
evt-007060,brute_force,bf-001
evt-007061,brute_force,bf-001
evt-007062,brute_force,bf-001
evt-007065,brute_force,bf-001
evt-007066,brute_force,bf-001
evt-007067,brute_force,bf-001
evt-007068,brute_force,bf-001
evt-007069,brute_force,bf-001
evt-007070,brute_force,bf-001
evt-007071,brute_force,bf-001
evt-007072,brute_force,bf-001
evt-007073,brute_force,bf-001
evt-007074,brute_force,bf-001
evt-007076,brute_force,bf-001
evt-007077,brute_force,bf-001
evt-007078,brute_force,bf-001
evt-007079,brute_force,bf-001
evt-007082,brute_force,bf-001
evt-007084,brute_force,bf-001
evt-007085,brute_force,bf-001
evt-007086,brute_force,bf-001
evt-007089,normal_baseline,
evt-007136,normal_baseline,
evt-007183,normal_baseline,
evt-007230,normal_baseline,
evt-007277,normal_baseline,
evt-007324,normal_baseline,
evt-007371,normal_baseline,
evt-007418,normal_baseline,
evt-007466,normal_baseline,
evt-007513,normal_baseline,
evt-007560,normal_baseline,
evt-007607,normal_baseline,
evt-007654,normal_baseline,
evt-007701,normal_baseline,
evt-007748,normal_baseline,
evt-007774,low_and_slow_exfiltration,ls-001
evt-007796,normal_baseline,
evt-007843,normal_baseline,
evt-007890,normal_baseline,
evt-007937,normal_baseline,
evt-007985,normal_baseline,
evt-008032,normal_baseline,
evt-008079,normal_baseline,
evt-008126,normal_baseline,
evt-008173,normal_baseline,
evt-008220,normal_baseline,
evt-008268,normal_baseline,
evt-008315,normal_baseline,
evt-008363,normal_baseline,
evt-008411,normal_baseline,
evt-008424,low_and_slow_exfiltration,ls-001
evt-008461,normal_baseline,
evt-008508,normal_baseline,
evt-008555,normal_baseline,
evt-008603,normal_baseline,
evt-008650,normal_baseline,
evt-008697,normal_baseline,
evt-008744,normal_baseline,
evt-008791,normal_baseline,
evt-008838,normal_baseline,
evt-008885,normal_baseline,
evt-008932,normal_baseline,
evt-008979,normal_baseline,
evt-009026,normal_baseline,
evt-009073,normal_baseline,
evt-009120,normal_baseline,
evt-009167,normal_baseline,
evt-009214,normal_baseline,
evt-009261,normal_baseline,
evt-009308,normal_baseline,
evt-009355,normal_baseline,
evt-009402,normal_baseline,
evt-009449,normal_baseline,
evt-009496,normal_baseline,
evt-009544,normal_baseline,
evt-009591,normal_baseline,
evt-009638,normal_baseline,
evt-009685,normal_baseline,
evt-009689,low_and_slow_exfiltration,ls-001
evt-009733,normal_baseline,
evt-009780,normal_baseline,
evt-009827,normal_baseline,
evt-009875,normal_baseline,
evt-009922,normal_baseline,
evt-009969,normal_baseline,
